State/County FIPS,State FIPS,County FIPS,County Name,State Name,Total,Margin of Error (+/-)
'01003','01','003',"Baldwin County",Alabama,45,52
'01015','01','015',"Calhoun County",Alabama,0,28
'01031','01','031',"Coffee County",Alabama,0,28
'01033','01','033',"Colbert County",Alabama,0,28
'01047','01','047',"Dallas County",Alabama,0,28
'01055','01','055',"Etowah County",Alabama,0,28
'01057','01','057',"Fayette County",Alabama,0,28
'01073','01','073',"Jefferson County",Alabama,195,213
'01081','01','081',"Lee County",Alabama,18,30
'01083','01','083',"Limestone County",Alabama,93,125
'01087','01','087',"Macon County",Alabama,30,37
'01089','01','089',"Madison County",Alabama,9,14
'01097','01','097',"Mobile County",Alabama,0,28
'01101','01','101',"Montgomery County",Alabama,0,28
'01109','01','109',"Pike County",Alabama,0,28
'01119','01','119',"Sumter County",Alabama,0,28
'01125','01','125',"Tuscaloosa County",Alabama,93,113
'02020','02','020',"Anchorage Municipality",Alaska,237,198
'02170','02','170',"Matanuska-Susitna Borough",Alaska,40,67
'04003','04','003',"Cochise County",Arizona,0,28
'04013','04','013',"Maricopa County",Arizona,314,185
'04019','04','019',"Pima County",Arizona,156,89
'04021','04','021',"Pinal County",Arizona,0,28
'04023','04','023',"Santa Cruz County",Arizona,0,28
'04027','04','027',"Yuma County",Arizona,0,28
'05007','05','007',"Benton County",Arkansas,0,28
'05019','05','019',"Clark County",Arkansas,0,28
'05045','05','045',"Faulkner County",Arkansas,0,28
'05069','05','069',"Jefferson County",Arkansas,0,28
'05097','05','097',"Montgomery County",Arkansas,0,28
'05119','05','119',"Pulaski County",Arkansas,106,83
'05143','05','143',"Washington County",Arkansas,0,28
'06001','06','001',"Alameda County",California,527,221
'06007','06','007',"Butte County",California,30,53
'06013','06','013',"Contra Costa County",California,230,147
'06017','06','017',"El Dorado County",California,12,19
'06019','06','019',"Fresno County",California,22,35
'06025','06','025',"Imperial County",California,55,88
'06029','06','029',"Kern County",California,9,13
'06031','06','031',"Kings County",California,0,28
'06037','06','037',"Los Angeles County",California,3456,696
'06041','06','041',"Marin County",California,221,201
'06053','06','053',"Monterey County",California,0,28
'06055','06','055',"Napa County",California,75,56
'06057','06','057',"Nevada County",California,0,28
'06059','06','059',"Orange County",California,758,414
'06061','06','061',"Placer County",California,17,28
'06065','06','065',"Riverside County",California,94,68
'06067','06','067',"Sacramento County",California,0,28
'06071','06','071',"San Bernardino County",California,116,108
'06073','06','073',"San Diego County",California,1057,376
'06075','06','075',"San Francisco County",California,1945,627
'06077','06','077',"San Joaquin County",California,0,28
'06079','06','079',"San Luis Obispo County",California,139,131
'06081','06','081',"San Mateo County",California,480,294
'06083','06','083',"Santa Barbara County",California,253,107
'06085','06','085',"Santa Clara County",California,462,204
'06087','06','087',"Santa Cruz County",California,54,56
'06095','06','095',"Solano County",California,0,28
'06097','06','097',"Sonoma County",California,0,28
'06099','06','099',"Stanislaus County",California,10,17
'06107','06','107',"Tulare County",California,10,17
'06111','06','111',"Ventura County",California,42,48
'06113','06','113',"Yolo County",California,47,57
'06115','06','115',"Yuba County",California,16,17
'08001','08','001',"Adams County",Colorado,164,114
'08005','08','005',"Arapahoe County",Colorado,59,50
