State/County FIPS,State FIPS,County FIPS,County Name,State Name,Total,Margin of Error (+/-)
'01003','01','003',"Baldwin County",Alabama,31,51
'01031','01','031',"Coffee County",Alabama,10,16
'01045','01','045',"Dale County",Alabama,3,5
'01055','01','055',"Etowah County",Alabama,17,28
'01073','01','073',"Jefferson County",Alabama,81,63
'01081','01','081',"Lee County",Alabama,13,20
'01089','01','089',"Madison County",Alabama,11,17
'01097','01','097',"Mobile County",Alabama,72,101
'01117','01','117',"Shelby County",Alabama,18,29
'01125','01','125',"Tuscaloosa County",Alabama,34,42
'02020','02','020',"Anchorage Municipality",Alaska,30,21
'04001','04','001',"Apache County",Arizona,0,132
'04003','04','003',"Cochise County",Arizona,13,20
'04013','04','013',"Maricopa County",Arizona,230,136
'04019','04','019',"Pima County",Arizona,66,64
'05031','05','031',"Craighead County",Arkansas,0,119
'05069','05','069',"Jefferson County",Arkansas,0,119
'05097','05','097',"Montgomery County",Arkansas,6,12
'05119','05','119',"Pulaski County",Arkansas,18,30
'05131','05','131',"Sebastian County",Arkansas,17,27
'05143','05','143',"Washington County",Arkansas,13,27
'06001','06','001',"Alameda County",California,421,160
'06013','06','013',"Contra Costa County",California,25,29
'06019','06','019',"Fresno County",California,189,226
'06025','06','025',"Imperial County",California,0,132
'06029','06','029',"Kern County",California,159,216
'06031','06','031',"Kings County",California,64,104
'06037','06','037',"Los Angeles County",California,3861,559
'06041','06','041',"Marin County",California,134,87
'06047','06','047',"Merced County",California,0,132
'06053','06','053',"Monterey County",California,62,60
'06055','06','055',"Napa County",California,135,132
'06057','06','057',"Nevada County",California,0,132
'06059','06','059',"Orange County",California,341,159
'06061','06','061',"Placer County",California,50,52
'06065','06','065',"Riverside County",California,96,76
'06067','06','067',"Sacramento County",California,236,142
'06071','06','071',"San Bernardino County",California,240,235
'06073','06','073',"San Diego County",California,651,275
'06075','06','075',"San Francisco County",California,1417,360
'06077','06','077',"San Joaquin County",California,15,23
'06079','06','079',"San Luis Obispo County",California,8,13
'06081','06','081',"San Mateo County",California,189,154
'06083','06','083',"Santa Barbara County",California,0,132
'06085','06','085',"Santa Clara County",California,408,132
'06087','06','087',"Santa Cruz County",California,90,109
'06095','06','095',"Solano County",California,53,75
'06097','06','097',"Sonoma County",California,47,38
'06099','06','099',"Stanislaus County",California,0,132
'06107','06','107',"Tulare County",California,48,79
'06111','06','111',"Ventura County",California,46,43
'06113','06','113',"Yolo County",California,23,33
'08005','08','005',"Arapahoe County",Colorado,55,74
'08013','08','013',"Boulder County",Colorado,114,80
'08021','08','021',"Conejos County",Colorado,0,123
'08031','08','031',"Denver County",Colorado,449,205
'08035','08','035',"Douglas County",Colorado,71,76
'08037','08','037',"Eagle County",Colorado,0,123
'08041','08','041',"El Paso County",Colorado,12,19
'08059','08','059',"Jefferson County",Colorado,10,18
'08067','08','067',"La Plata County",Colorado,0,123
'08077','08','077',"Mesa County",Colorado,8,14
'08097','08','097',"Pitkin County",Colorado,0,123
'09001','09','001',"Fairfield County",Connecticut,2235,461
'09003','09','003',"Hartford County",Connecticut,501,240
'09005','09','005',"Litchfield County",Connecticut,145,89
'09007','09','007',"Middlesex County",Connecticut,114,72
'09009','09','009',"New Haven County",Connecticut,774,350
'09011','09','011',"New London County",Connecticut,222,144
'09013','09','013',"Tolland County",Connecticut,14,23
'10001','10','001',"Kent County",Delaware,17,16
'10003','10','003',"New Castle County",Delaware,165,87
'10005','10','005',"Sussex County",Delaware,0,119
'11001','11','001',"District of Columbia","District of Columbia",1403,301
'12001','12','001',"Alachua County",Florida,27,32
'12005','12','005',"Bay County",Florida,25,42
'12007','12','007',"Bradford County",Florida,8,13
'12009','12','009',"Brevard County",Florida,137,144
'12011','12','011',"Broward County",Florida,1042,380
'12015','12','015',"Charlotte County",Florida,25,19
'12017','12','017',"Citrus County",Florida,18,30
'12019','12','019',"Clay County",Florida,0,136
'12021','12','021',"Collier County",Florida,139,163
'12027','12','027',"DeSoto County",Florida,8,13
'12031','12','031',"Duval County",Florida,171,108
'12033','12','033',"Escambia County",Florida,0,136
'12057','12','057',"Hillsborough County",Florida,428,233
'12061','12','061',"Indian River County",Florida,29,46
'12069','12','069',"Lake County",Florida,8,14
'12071','12','071',"Lee County",Florida,81,86
'12073','12','073',"Leon County",Florida,95,83
'12081','12','081',"Manatee County",Florida,24,30
'12083','12','083',"Marion County",Florida,6,13
'12085','12','085',"Martin County",Florida,21,33
'12086','12','086',"Miami-Dade County",Florida,1713,430
'12091','12','091',"Okaloosa County",Florida,31,34
'12095','12','095',"Orange County",Florida,596,284
'12097','12','097',"Osceola County",Florida,26,31
'12099','12','099',"Palm Beach County",Florida,1038,328
'12101','12','101',"Pasco County",Florida,125,113
'12103','12','103',"Pinellas County",Florida,13,21
'12105','12','105',"Polk County",Florida,48,45
'12107','12','107',"Putnam County",Florida,0,136
'12109','12','109',"St. Johns County",Florida,0,136
'12111','12','111',"St. Lucie County",Florida,21,29
'12115','12','115',"Sarasota County",Florida,45,40
'12117','12','117',"Seminole County",Florida,161,123
'12119','12','119',"Sumter County",Florida,35,40
'12127','12','127',"Volusia County",Florida,88,108
'13021','13','021',"Bibb County",Georgia,0,132
'13051','13','051',"Chatham County",Georgia,45,38
'13053','13','053',"Chattahoochee County",Georgia,9,15
'13057','13','057',"Cherokee County",Georgia,16,27
'13059','13','059',"Clarke County",Georgia,39,40
'13063','13','063',"Clayton County",Georgia,56,75
'13067','13','067',"Cobb County",Georgia,71,54
'13073','13','073',"Columbia County",Georgia,93,152
'13089','13','089',"DeKalb County",Georgia,423,318
'13121','13','121',"Fulton County",Georgia,499,249
'13127','13','127',"Glynn County",Georgia,0,132
'13135','13','135',"Gwinnett County",Georgia,248,154
'13139','13','139',"Hall County",Georgia,245,363
'13145','13','145',"Harris County",Georgia,32,51
'13151','13','151',"Henry County",Georgia,6,9
'13215','13','215',"Muscogee County",Georgia,44,56
'13245','13','245',"Richmond County",Georgia,16,27
'13247','13','247',"Rockdale County",Georgia,13,21
'13271','13','271',"Telfair County",Georgia,8,13
'13285','13','285',"Troup County",Georgia,132,194
'13299','13','299',"Ware County",Georgia,36,49
'15001','15','001',"Hawaii County",Hawaii,0,123
'15003','15','003',"Honolulu County",Hawaii,110,80
'15009','15','009',"Maui County",Hawaii,0,123
'16001','16','001',"Ada County",Idaho,37,35
'16065','16','065',"Madison County",Idaho,16,30
'17007','17','007',"Boone County",Illinois,23,35
'17015','17','015',"Carroll County",Illinois,1,2
'17019','17','019',"Champaign County",Illinois,15,18
'17031','17','031',"Cook County",Illinois,1527,288
'17037','17','037',"DeKalb County",Illinois,13,22
'17043','17','043',"DuPage County",Illinois,136,163
'17089','17','089',"Kane County",Illinois,10,17
'17097','17','097',"Lake County",Illinois,41,37
'17141','17','141',"Ogle County",Illinois,0,119
'17143','17','143',"Peoria County",Illinois,0,119
'17187','17','187',"Warren County",Illinois,14,15
'17197','17','197',"Will County",Illinois,0,119
'17201','17','201',"Winnebago County",Illinois,0,119
'18003','18','003',"Allen County",Indiana,47,68
'18011','18','011',"Boone County",Indiana,0,119
'18035','18','035',"Delaware County",Indiana,0,119
'18049','18','049',"Fulton County",Indiana,9,14
'18057','18','057',"Hamilton County",Indiana,92,92
'18081','18','081',"Johnson County",Indiana,57,88
'18083','18','083',"Knox County",Indiana,23,36
'18089','18','089',"Lake County",Indiana,19,30
'18097','18','097',"Marion County",Indiana,23,38
'18105','18','105',"Monroe County",Indiana,0,119
'18127','18','127',"Porter County",Indiana,0,119
'18141','18','141',"St. Joseph County",Indiana,17,20
'18157','18','157',"Tippecanoe County",Indiana,0,119
'18177','18','177',"Wayne County",Indiana,0,119
'19021','19','021',"Buena Vista County",Iowa,0,99
'19103','19','103',"Johnson County",Iowa,11,17
'19153','19','153',"Polk County",Iowa,0,99
'19163','19','163',"Scott County",Iowa,0,99
'20029','20','029',"Cloud County",Kansas,6,11
'20031','20','031',"Coffey County",Kansas,0,109
'20045','20','045',"Douglas County",Kansas,8,13
'20059','20','059',"Franklin County",Kansas,22,26
'20061','20','061',"Geary County",Kansas,10,19
'20091','20','091',"Johnson County",Kansas,69,67
'20161','20','161',"Riley County",Kansas,13,21
'21001','21','001',"Adair County",Kentucky,0,123
'21067','21','067',"Fayette County",Kentucky,136,156
'21073','21','073',"Franklin County",Kentucky,15,23
'21093','21','093',"Hardin County",Kentucky,0,123
'21111','21','111',"Jefferson County",Kentucky,69,84
'21117','21','117',"Kenton County",Kentucky,28,33
'22003','22','003',"Allen Parish",Louisiana,11,17
'22017','22','017',"Caddo Parish",Louisiana,0,123
'22033','22','033',"East Baton Rouge Parish",Louisiana,0,123
